epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.049,1.66031,2.36747,1.58452,0.60775,0.46479,0.55885,0.29474,1.50099,2.19732,1.53961,0.000664311,0.000664311,0.000664311
2,207.238,1.55931,1.63777,1.48136,0.81305,0.72535,0.7964,0.42894,1.53859,1.70759,1.50608,0.00119921,0.00119921,0.00119921
3,242.483,1.55308,1.47132,1.49734,0.83964,0.80282,0.81511,0.46922,1.43177,1.5993,1.50245,0.00160211,0.00160211,0.00160211
4,277.242,1.54474,1.31635,1.5228,0.77806,0.83803,0.84341,0.44513,1.50563,1.37535,1.53338,0.001406,0.001406,0.001406
5,312.19,1.50791,1.2216,1.45475,0.87148,0.81181,0.85949,0.51875,1.38034,1.16532,1.42681,0.001208,0.001208,0.001208
6,346.838,1.4476,1.09829,1.41386,0.84614,0.8662,0.878,0.52136,1.40148,1.17712,1.44473,0.00101,0.00101,0.00101
7,380.959,1.40945,1.0513,1.41799,0.8693,0.89437,0.91799,0.5627,1.34785,0.99476,1.40063,0.000812,0.000812,0.000812
8,415.202,1.37719,0.99313,1.35427,0.90577,0.85915,0.92258,0.55483,1.35423,1.04854,1.40615,0.000614,0.000614,0.000614
9,449.995,1.32546,0.94184,1.34945,0.86356,0.92254,0.92338,0.55861,1.33002,0.92405,1.38572,0.000416,0.000416,0.000416
10,484.445,1.31142,0.91234,1.31032,0.90074,0.88028,0.92623,0.57917,1.26916,0.89913,1.32801,0.000218,0.000218,0.000218
